0.004, 0.0038162, 0.0011565,
0.004, 0.0034534, 0.0008009,
0.004, 0.0033284, 0.0009173,
0.004, 0.003509, 0.0011525,
0.004, 0.0030533, 0.0009269,
0.003, 0.0032049, 0.0008968,
0.004, 0.0045459, 0.000923,
0.005, 0.003407, 0.0014491,
0.004, 0.0042346, 0.0012933,
0.005, 0.0030224, 0.0010274,
0.004, 0.0031693, 0.0009383,
0.004, 0.0031982, 0.0012154,
0.004, 0.0038702, 0.0017513,
0.005, 0.0040196, 0.001149,
0.005, 0.0041014, 0.0010693,
0.005, 0.0032571, 0.0018791,
0.005, 0.0036333, 0.0019517,
0.005, 0.0033143, 0.0009628,
0.004, 0.0034978, 0.0016304,
0.005, 0.0032766, 0.0014624,
0.004, 0.0034597, 0.0009527,
0.004, 0.0039256, 0.0010979,
0.005, 0.0029779, 0.0010585,
0.004, 0.0036297, 0.0012264,
0.004, 0.0030799, 0.0009802,
0.004, 0.0029918, 0.0008241,
0.003, 0.0030376, 0.0009482,
0.004, 0.0033536, 0.0016346,
0.005, 0.0033105, 0.001233,
0.004, 0.0032202, 0.0008523,
0.004, 0.0039107, 0.0012499,
0.005, 0.0040606, 0.0009133,
0.005, 0.0031761, 0.0010756,
0.004, 0.0045976, 0.0013006,
0.005, 0.0032639, 0.0015464,
0.004, 0.0039729, 0.0012256,
0.005, 0.0033284, 0.0012715,
0.014, 0.0032832, 0.001176,
0.004, 0.0070941, 0.0017797,
0.008, 0.0039866, 0.0016411,
0.005, 0.0030719, 0.0011359,
0.004, 0.0050285, 0.0011941,
0.006, 0.0032449, 0.0010639,
0.004, 0.0031241, 0.0010385,
0.004, 0.0061616, 0.001072,
0.007, 0.0034163, 0.0012975,
0.004, 0.0034341, 0.0014412,
0.004, 0.0056061, 0.0015076,
0.007, 0.0034197, 0.0011015,
0.004, 0.0032288, 0.0011797,
0.004, 0.0055326, 0.0014047,
0.007, 0.0041714, 0.0017783,
0.005, 0.0027282, 0.0010086,
0.003, 0.0051748, 0.0010175,
0.006, 0.0036686, 0.0017225,
0.005, 0.0041172, 0.0010341,
0.005, 0.0049926, 0.0010491,
0.006, 0.0031553, 0.0012088,
0.004, 0.0031032, 0.001215,
0.004, 0.0055788, 0.0024316,
0.008, 0.0032307, 0.0011618,
0.004, 0.0029126, 0.0011574,
0.004, 0.0074711, 0.0010016,
0.008, 0.0030525, 0.0010951,
0.004, 0.0032936, 0.0010855,
0.004, 0.0057122, 0.001368,
0.007, 0.0043028, 0.0017197,
0.006, 0.0033894, 0.0014209,
0.004, 0.0044308, 0.0014203,
0.005, 0.0039395, 0.0011911,
0.005, 0.0028695, 0.0010146,
0.003, 0.0051254, 0.0009843,
0.006, 0.0031292, 0.0014053,
0.004, 0.0042153, 0.0010269,
0.005, 0.0044677, 0.0016809,
0.006, 0.0031165, 0.0010775,
0.004, 0.0031885, 0.0016347,
0.004, 0.0032675, 0.0010392,
0.004, 0.0042841, 0.0012863,
0.005, 0.003242, 0.001313,
0.004, 0.0030161, 0.0009627,
0.004, 0.0062208, 0.0016884,
0.007, 0.0032224, 0.0010933,
0.004, 0.0029644, 0.0009596,
0.004, 0.0061826, 0.0016831,
0.008, 0.0038623, 0.0023139,
0.006, 0.0075231, 0.002335,
0.009, 0.0041503, 0.0022324,
0.006, 0.0027821, 0.001406,
0.004, 0.0031713, 0.0059326,
0.009, 0.0041475, 0.0011576,
0.005, 0.0032821, 0.0010748,
0.004, 0.0030081, 0.0016391,
0.004, 0.0031901, 0.0013576,
0.004, 0.0036005, 0.0013105,
0.004, 0.0037082, 0.0016225,
0.005, 0.0028014, 0.0010867,
0.003, 0.0028012, 0.0009679,
0.003, 0.0026748, 0.0009288,
0.003, 0.0050092, 0.0015191,
