0.006, 0.0041627, 0.0018365,
0.006, 0.0071607, 0.0050185,
0.012, 0.0056208, 0.0032844,
0.008, 0.0049001, 0.0026564,
0.007, 0.0044507, 0.0029443,
0.007, 0.0042649, 0.0023604,
0.006, 0.0043263, 0.0020266,
0.006, 0.005327, 0.0020652,
0.007, 0.0042945, 0.0023939,
0.006, 0.0045618, 0.002121,
0.006, 0.0045732, 0.0022668,
0.006, 0.0044074, 0.0021054,
0.006, 0.0044293, 0.0021597,
0.006, 0.0043004, 0.0022164,
0.006, 0.0052044, 0.0032909,
0.008, 0.0048718, 0.0022,
0.007, 0.0043239, 0.0019037,
0.006, 0.0044594, 0.001941,
0.006, 0.0043713, 0.0028254,
0.007, 0.0043948, 0.0017977,
0.006, 0.004304, 0.0019543,
0.006, 0.0051851, 0.0029395,
0.008, 0.0053708, 0.002546,
0.007, 0.0043743, 0.0022435,
0.006, 0.0044537, 0.0024949,
0.007, 0.0043906, 0.0025099,
0.006, 0.0043282, 0.0023124,
0.006, 0.0048234, 0.0026505,
0.007, 0.0046054, 0.002234,
0.006, 0.0043855, 0.0028847,
0.007, 0.0046267, 0.0018968,
0.006, 0.004589, 0.0022381,
0.006, 0.0044172, 0.0025098,
0.006, 0.004257, 0.0023806,
0.006, 0.0087243, 0.0046876,
0.013, 0.0047635, 0.0028997,
0.007, 0.0045244, 0.0024001,
0.006, 0.0046716, 0.0027935,
0.007, 0.0044073, 0.0026788,
0.007, 0.00558, 0.0022309,
0.007, 0.0045464, 0.0022838,
0.006, 0.0066993, 0.0020455,
0.008, 0.0044685, 0.0023215,
0.006, 0.0046807, 0.0021785,
0.006, 0.0045279, 0.0018414,
0.006, 0.0043553, 0.00241,
0.006, 0.004779, 0.0023449,
0.007, 0.005239, 0.0026043,
0.007, 0.0046909, 0.0023785,
0.007, 0.004512, 0.0021851,
0.006, 0.0044792, 0.0022112,
0.006, 0.0051614, 0.0032536,
0.008, 0.0045694, 0.0026099,
0.007, 0.0046094, 0.0020022,
0.006, 0.0056165, 0.0024351,
0.008, 0.0043697, 0.0025401,
0.006, 0.005855, 0.0026702,
0.008, 0.0046792, 0.0021841,
0.006, 0.0045294, 0.0028719,
0.007, 0.0041591, 0.002312,
0.006, 0.0040424, 0.0017955,
0.005, 0.0049356, 0.0022605,
0.007, 0.0042903, 0.0019761,
0.006, 0.0041597, 0.0019212,
0.006, 0.0044596, 0.0022521,
0.006, 0.0042005, 0.0020887,
0.006, 0.0041236, 0.0018677,
0.006, 0.0042568, 0.0020088,
0.006, 0.0043072, 0.0020507,
0.006, 0.0056332, 0.0021704,
0.007, 0.0049324, 0.0029557,
0.007, 0.0052578, 0.0020755,
0.007, 0.004702, 0.0026068,
0.007, 0.0045905, 0.0023493,
0.006, 0.0045177, 0.0022912,
0.006, 0.0044051, 0.0020419,
0.006, 0.0042169, 0.0020944,
0.006, 0.0048954, 0.002217,
0.007, 0.0059558, 0.0023469,
0.008, 0.0046646, 0.0020608,
0.006, 0.0048474, 0.0022784,
0.007, 0.0048772, 0.0026723,
0.007, 0.0044383, 0.0021316,
0.006, 0.0046743, 0.0027321,
0.007, 0.0048737, 0.0079309,
0.012, 0.0044646, 0.0018929,
0.006, 0.004107, 0.0018293,
0.005, 0.0042377, 0.0018844,
0.006, 0.0047425, 0.0018709,
0.006, 0.0042413, 0.002459,
0.006, 0.0047186, 0.0020763,
0.006, 0.005579, 0.0021936,
0.007, 0.0045888, 0.002142,
0.006, 0.0045048, 0.0022833,
0.006, 0.005546, 0.0019393,
0.007, 0.0043407, 0.0019988,
0.006, 0.0047472, 0.0021236,
0.006, 0.0074164, 0.0037172,
0.011, 0.0042621, 0.0019692,
0.006, 0.0045324, 0.0020044,
