0.003, 0.0023072, 0.001173,
0.003, 0.0021488, 0.0006289,
0.002, 0.0023048, 0.0007286,
0.003, 0.0022648, 0.0006838,
0.002, 0.0021679, 0.0009953,
0.003, 0.00215, 0.0007402,
0.002, 0.0019718, 0.0004522,
0.002, 0.0021577, 0.0008787,
0.003, 0.0023303, 0.000772,
0.003, 0.0022976, 0.0007835,
0.003, 0.0021924, 0.0007328,
0.002, 0.0021315, 0.0012292,
0.003, 0.0021145, 0.0004831,
0.002, 0.0022885, 0.0007726,
0.003, 0.0022313, 0.0006624,
0.002, 0.0021877, 0.0007275,
0.002, 0.0030761, 0.000761,
0.003, 0.0021752, 0.000829,
0.003, 0.0022132, 0.0007306,
0.002, 0.0022743, 0.0006861,
0.002, 0.0022114, 0.0007962,
0.003, 0.0024664, 0.0007385,
0.003, 0.0021998, 0.0010534,
0.003, 0.002108, 0.0006382,
0.002, 0.0020979, 0.0006668,
0.002, 0.0021601, 0.0007265,
0.002, 0.0019478, 0.0007056,
0.002, 0.0021847, 0.0006725,
0.002, 0.0019396, 0.0006732,
0.002, 0.0018967, 0.0006422,
0.002, 0.0019291, 0.0005167,
0.002, 0.0018332, 0.0004862,
0.002, 0.0019835, 0.0005,
0.002, 0.0020873, 0.0006834,
0.002, 0.0023022, 0.0008741,
0.003, 0.0021821, 0.0013314,
0.003, 0.002574, 0.0006642,
0.003, 0.0018177, 0.0005073,
0.002, 0.0018105, 0.0005999,
0.002, 0.0018259, 0.0004947,
0.002, 0.0021049, 0.0006164,
0.002, 0.0022732, 0.0006518,
0.002, 0.0022275, 0.0009806,
0.003, 0.002176, 0.000798,
0.002, 0.0020684, 0.0006924,
0.002, 0.0033937, 0.0007884,
0.004, 0.0021756, 0.000661,
0.002, 0.0022324, 0.0007549,
0.003, 0.0021561, 0.0007982,
0.002, 0.0021677, 0.0007233,
0.002, 0.0027496, 0.0007783,
0.003, 0.0020901, 0.0008662,
0.002, 0.0020367, 0.0005958,
0.002, 0.0021828, 0.0006409,
0.002, 0.0021351, 0.0006834,
0.002, 0.0020971, 0.000804,
0.002, 0.0025135, 0.0008305,
0.003, 0.0019534, 0.0006593,
0.002, 0.0020314, 0.0007035,
0.002, 0.0021587, 0.0009417,
0.003, 0.0021383, 0.0009779,
0.003, 0.0024016, 0.0007686,
0.003, 0.0020131, 0.0007557,
0.002, 0.0022805, 0.0008181,
0.003, 0.0021625, 0.0008669,
0.003, 0.0022607, 0.0009144,
0.003, 0.0021467, 0.0007661,
0.002, 0.0024762, 0.0008608,
0.003, 0.0024482, 0.0012034,
0.003, 0.002232, 0.0006104,
0.002, 0.0023104, 0.0008004,
0.003, 0.0020267, 0.0007989,
0.002, 0.0027459, 0.0014144,
0.004, 0.0019078, 0.0005519,
0.002, 0.0022203, 0.0009595,
0.003, 0.0021802, 0.0007415,
0.002, 0.0023244, 0.0008166,
0.003, 0.0021367, 0.0007192,
0.002, 0.0022398, 0.0009235,
0.003, 0.0021801, 0.000652,
0.002, 0.0021539, 0.0009776,
0.003, 0.0021093, 0.0006832,
0.002, 0.0021864, 0.0007656,
0.002, 0.0021304, 0.0010519,
0.003, 0.0019072, 0.0006493,
0.002, 0.0021733, 0.000849,
0.003, 0.0022466, 0.0007436,
0.003, 0.0022182, 0.0007526,
0.002, 0.0021869, 0.0007658,
0.002, 0.0018945, 0.0009196,
0.002, 0.0019827, 0.0011056,
0.003, 0.0021601, 0.0005925,
0.002, 0.0021116, 0.001057,
0.003, 0.0021308, 0.0006834,
0.002, 0.0022072, 0.0008459,
0.003, 0.0020522, 0.000864,
0.002, 0.0021487, 0.0007935,
0.002, 0.002152, 0.0008022,
0.002, 0.0022652, 0.0008743,
0.003, 0.0020845, 0.0007943,
