0.004, 0.001761, 0.0006078,
0.002, 0.0017693, 0.0007809,
0.002, 0.0016014, 0.0004803,
0.002, 0.0026123, 0.0007719,
0.004, 0.0015799, 0.0005531,
0.002, 0.0017023, 0.0006984,
0.002, 0.0016585, 0.0006504,
0.002, 0.001885, 0.0009362,
0.002, 0.0018576, 0.0006533,
0.002, 0.002898, 0.0009768,
0.003, 0.0015165, 0.0009015,
0.002, 0.0017932, 0.0006979,
0.002, 0.0026645, 0.0008752,
0.003, 0.0020023, 0.0005375,
0.002, 0.0020062, 0.0009133,
0.002, 0.0025991, 0.0014741,
0.004, 0.0018307, 0.0008385,
0.002, 0.0019874, 0.0004732,
0.002, 0.0021212, 0.001012,
0.003, 0.0021235, 0.0008669,
0.003, 0.0027498, 0.0008745,
0.003, 0.0025884, 0.0014384,
0.004, 0.0022712, 0.001,
0.003, 0.0019899, 0.0005812,
0.002, 0.0019477, 0.0009929,
0.003, 0.0022132, 0.0017421,
0.003, 0.001793, 0.0008342,
0.002, 0.0032255, 0.0012136,
0.004, 0.0018195, 0.0005962,
0.002, 0.0028053, 0.001527,
0.004, 0.0032093, 0.0016554,
0.004, 0.0017965, 0.0006237,
0.002, 0.001808, 0.0010331,
0.002, 0.0017869, 0.0010477,
0.002, 0.0019297, 0.0006218,
0.003, 0.0021817, 0.0008024,
0.003, 0.001702, 0.000639,
0.002, 0.0016908, 0.0007124,
0.002, 0.0017723, 0.0004313,
0.002, 0.0019773, 0.0009096,
0.002, 0.0016917, 0.0009665,
0.002, 0.0028464, 0.0007135,
0.003, 0.0021656, 0.0006482,
0.002, 0.0018465, 0.0009389,
0.002, 0.0019443, 0.0006965,
0.002, 0.0020601, 0.0006552,
0.002, 0.0017802, 0.0009343,
0.002, 0.0026497, 0.000732,
0.003, 0.001944, 0.0005851,
0.002, 0.0017834, 0.0004724,
0.002, 0.002062, 0.0006334,
0.002, 0.0019893, 0.0004894,
0.002, 0.0020556, 0.0012939,
0.003, 0.0024837, 0.0006753,
0.003, 0.0018975, 0.0009533,
0.002, 0.002662, 0.0009213,
0.003, 0.0025799, 0.0006068,
0.003, 0.0017372, 0.0004961,
0.002, 0.0034182, 0.001486,
0.004, 0.0021052, 0.000716,
0.002, 0.0020033, 0.0010189,
0.003, 0.002732, 0.0010045,
0.003, 0.0018391, 0.0005768,
0.002, 0.0028568, 0.0014419,
0.004, 0.0020756, 0.0005182,
0.002, 0.0020857, 0.0006597,
0.002, 0.0020315, 0.0011184,
0.003, 0.0017383, 0.0006734,
0.002, 0.0018632, 0.0005583,
0.002, 0.0025569, 0.0009267,
0.003, 0.0021899, 0.0007655,
0.002, 0.0026594, 0.0007938,
0.003, 0.0019696, 0.0006353,
0.002, 0.0020083, 0.000731,
0.002, 0.0029493, 0.0007398,
0.003, 0.0021681, 0.0005838,
0.002, 0.0018538, 0.000879,
0.002, 0.0016601, 0.0005418,
0.002, 0.0017832, 0.0005693,
0.002, 0.0020894, 0.000754,
0.002, 0.0028511, 0.0006648,
0.003, 0.0023216, 0.0009747,
0.003, 0.0017881, 0.0006699,
0.002, 0.0020195, 0.0010888,
0.003, 0.0017442, 0.0004837,
0.002, 0.0021345, 0.0008495,
0.003, 0.002318, 0.0009582,
0.003, 0.0025992, 0.0007893,
0.003, 0.0018501, 0.00075,
0.002, 0.0019321, 0.0006578,
0.002, 0.0019741, 0.0008374,
0.002, 0.0017763, 0.0006155,
0.002, 0.0023012, 0.0004504,
0.003, 0.0023151, 0.0009986,
0.003, 0.0015605, 0.0007664,
0.002, 0.0018772, 0.0006172,
0.002, 0.0017296, 0.0004453,
0.002, 0.0018295, 0.0007667,
0.002, 0.0028581, 0.00069,
0.003, 0.0019741, 0.0007775,
